"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-05-17",,,,,,,,"80","52",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-05-18",,,,,,,,"70","56",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-05-19",,,,,,,,"79","53",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-05-20",,,,,,,,"76","58",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-05-21",,,,,,,,"79","58",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-05-22",,,,,,,,"61","56",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-05-23",,,,,,,,"64","55",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-05-24",,,,,,,,"73","52",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-05-25",,,,,,,,"74","51",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-05-26",,,,,,,,"76","57",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-05-27",,,,,,,,"81","50",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-05-28",,,,,,,,"68","55",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-05-29",,,,,,,,"65","55",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-05-30",,,,,,,,"75","58",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-05-31",,,,,,,,"77","60",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-01",,,,,,,,"77","56",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-02",,,,,,,,"85","55",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-03",,,,,,,,"81","71",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-04",,,,,,,,"79","65",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-05",,,,,,,,"85","64",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-06",,,,,,,,"80","62",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-07",,,,,,,,"75","58",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-08",,,,,,,,"76","51",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-09",,,,,,,,"75","50",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-10",,,,,,,,"75","50",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-11",,,,,,,,"81","48",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-12",,,,,,,,"80","65",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-13",,,,,,,,"78","64",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-14",,,,,,,,"75","65",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-15",,,,,,,,"82","64",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-16",,,,,,,,"84","56",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-17",,,,,,,,"87","65",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-18",,,,,,,,"79","60",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-19",,,,,,,,"79","55",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-20",,,,,,,,"80","61",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-21",,,,,,,,"80","56",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-22",,,,,,,,"77","62",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-23",,,,,,,,"83","66",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-24",,,,,,,,"88","70",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-25",,,,,,,,"80","59",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-26",,,,,,,,"86","55",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-27",,,,,,,,"90","57",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-28",,,,,,,,"88","57",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-29",,,,,,,,"84","64",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-06-30",,,,,,,,"87","66",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-01",,,,,,,,"78","66",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-02",,,,,,,,"82","67",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-03",,,,,,,,"87","67",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-04",,,,,,,,"79","62",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-05",,,,,,,,"79","61",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-06",,,,,,,,"79","57",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-07",,,,,,,,"80","58",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-08",,,,,,,,"82","54",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-09",,,,,,,,"89","56",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-10",,,,,,,,"88","63",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-11",,,,,,,,"80","66",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-12",,,,,,,,"90","62",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-13",,,,,,,,"90","69",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-14",,,,,,,,"72","62",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-15",,,,,,,,"79","58",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-16",,,,,,,,"83","54",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-17",,,,,,,,"83","64",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-18",,,,,,,,"86","65",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-19",,,,,,,,"85","68",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-20",,,,,,,,"83","65",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-21",,,,,,,,"84","60",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-22",,,,,,,,"85","57",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-23",,,,,,,,"89","71",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-24",,,,,,,,"87","66",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-25",,,,,,,,"85","63",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-26",,,,,,,,"85","62",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-27",,,,,,,,"74","67",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-28",,,,,,,,"87","69",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-29",,,,,,,,"85","68",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-30",,,,,,,,"79","65",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-07-31",,,,,,,,"83","67",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-08-01",,,,,,,,"84","67",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-08-02",,,,,,,,"87","68",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-08-03",,,,,,,,"89","74",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-08-04",,,,,,,,"81","67",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-08-05",,,,,,,,"83","67",,,,,,,,,
"USW00094732","NORTHEAST PHILADELPHIA AIRPORT, PA US","1960-08-06",,,,,,,,"82","67",,,,,,,,,
